"Comment","Designator","Footprint","JLCPCB"
"Keystone 4952","+12V","CONN-TH","C238118"
"Keystone 4952","+5V","CONN-TH","C238118"
"10k","ANALOG","3266W-1-103","C123430"
"Keystone 4952","ANALOG_","CONN-TH","C238118"
"KF301-5.0-3P","ANALOG_IN","KF301-5.0-3P","C474882"
"22pF","C1","CAP_0805_N","C1804"
"22pF","C2","CAP_0805_N","C1804"
"100nF","C3","CAP_1206","C82601"
"100nF","C4","CAP_1206","C82601"
"100nF","C5","CAP_1206","C82601"
"Led Green","D1","LED_1206(3216 Metric)_N_Green","C375582"
"Led Green","D2","LED_1206(3216 Metric)_N_Green","C375582"
"Led Green","D3","LED_1206(3216 Metric)_N_Green","C375582"
"Led Green","D4","LED_1206(3216 Metric)_N_Green","C375582"
"Led Green","D5","LED_1206(3216 Metric)_N_Green","C375582"
"Led Blue","D6","LED_1206(3216 Metric)_N_Blue","C130717"
"Led Yellow","D7","LED_1206(3216 Metric)_N_Yellow","C93094"
"Led Green","D8","LED_1206(3216 Metric)_N_Green","C375582"
"Led Yellow","D9","LED_1206(3216 Metric)_N_Yellow","C93094"
"Led Red","D10","LED_1206(3216 Metric)_N_Red","C559117"
"BT137D-800E","D11","BT137D-800E","C967627"
"Led Yellow","D12","LED_1206(3216 Metric)_N_Yellow","C93094"
"Led Red","D13","LED_1206(3216 Metric)_N_Red","C559117"
"Led Red","D14","LED_1206(3216 Metric)_N_Red","C559117"
"Led Red","D15","LED_1206(3216 Metric)_N_Red","C559117"
"Led Red","D16","LED_1206(3216 Metric)_N_Red","C559117"
"Led Red","D17","LED_1206(3216 Metric)_N_Red","C559117"
"Led Red","D18","LED_1206(3216 Metric)_N_Red","C559117"
"Led Red","D19","LED_1206(3216 Metric)_N_Red","C559117"
"Led Red","D20","LED_1206(3216 Metric)_N_Red","C559117"
"Led Yellow","D21","LED_1206(3216 Metric)_N_Yellow","C93094"
"Led Red","D22","LED_1206(3216 Metric)_N_Red","C559117"
"644456-4","DISPLAY-LED","644456-4","C124378"
"7-SEG ANODO RED","DS1","SA56-11EWA","C141368"
"7-SEG ANODO RED","DS2","SA56-11EWA","C141368"
"Keystone 4952","GND1","CONN-TH","C238118"
"Keystone 4952","GND2","CONN-TH","C238118"
"I2C/SPI","I2C/SPI","PPTC051LFBN-RC","C492404"
"ICSP","ICSP","2.54mm 1X6","C2905426"
"SIP-2_2.5x5.08x2.54P","J1","JUMPER","C358684"
