"Comment","Designator","Footprint","JLCPCB"
"SIP-2_2.5x5.08x2.54P","J2","JUMPER","C358684"
"SIP-2_2.5x5.08x2.54P","J3","JUMPER","C358684"
"SIP-2_2.5x5.08x2.54P","J4","JUMPER","C358684"
"SIP-2_2.5x5.08x2.54P","J5","JUMPER","C358684"
"SIP-2_2.5x5.08x2.54P","J6","JUMPER","C358684"
"SIP-2_2.5x5.08x2.54P","J7","JUMPER","C358684"
"SIP-2_2.5x5.08x2.54P","J8","JUMPER","C358684"
"KF301-5.0-2P","J9","KF301-5.0-2P","C474881"
"KF301-5.0-2P","J10","KF301-5.0-2P","C474881"
"KF301-5.0-2P","J11","KF301-5.0-2P","C474881"
"KF301-5.0-2P","J12","KF301-5.0-2P","C474881"
"DC-005 2.0","J13","4840-2211","C16214"
"G5NB-1A-E DC12","K1","LD14H","C225714"
"G5NB-1A-E DC12","K2","LD14H","C225714"
"G5NB-1A-E DC12","K3","LD14H","C225714"
"XKB8080-Z","ON/PROG","PVA2 EE H2 1.7N V2","C318860"
"KF301-5.0-2P","PWM1","KF301-5.0-2P","C474881"
"Keystone 4952","PWM2","CONN-TH","C238118"
"2n3904","Q1","MMBT3904","C382281"
"2n3904","Q2","MMBT3904","C382281"
"2k2","R1","RES_1206","C17948"
"1k","R2","RES_1206","C4410"
"1k","R3","RES_1206","C4410"
"1k","R4","RES_1206","C4410"
"1k","R5","RES_1206","C4410"
"1k","R6","RES_1206","C4410"
"1k","R7","RES_1206","C4410"
"10k","R8","RES_1206","C17902"
"10k","R9","RES_1206","C17902"
"10k","R10","RES_1206","C17902"
"10k","R11","RES_1206","C17902"
"10k","R12","RES_1206","C17902"
"10k","R13","RES_1206","C17902"
"10k","R14","RES_1206","C17902"
"10k","R15","RES_1206","C17902"
"470R","R16","RES_1206","C4502"
"330R","R17","RES_1206","C17930"
"330R","R18","RES_1206","C17930"
"330R","R19","RES_1206","C17930"
"330R","R20","RES_1206","C17930"
"330R","R21","RES_1206","C17930"
"330R","R22","RES_1206","C17930"
"330R","R23","RES_1206","C17930"
"330R","R24","RES_1206","C17930"
"470R","R25","RES_1206","C4502"
"1k","R26","RES_1206","C4410"
"1k","R27","RES_1206","C4410"
"1k","R28","RES_1206","C4410"
"330R","R29","RES_1206","C17930"
"10K","R30","RES_1206","C17902"
"470R","R31","RES_1206","C4502"
"470R","R32","RES_1206","C4502"
"470R","R33","RES_1206","C4502"
"470R","R34","RES_1206","C4502"
"470R","R35","RES_1206","C4502"
"470R","R36","RES_1206","C4502"
"470R","R37","RES_1206","C4502"
"470R","R38","RES_1206","C4502"
"470R","R39","RES_1206","C4502"
"470R","R40","RES_1206","C4502"
"470R","R41","RES_1206","C4502"
"470R","R42","RES_1206","C4502"
"RESET","RESET","B3F-1000","C93157"
"Led Blue","RX","LED_1206(3216 Metric)_N_Blue","C130717"
"B3F-1000","S1","B3F-1000","C93157"
"B3F-1000","S2","B3F-1000","C93157"
"B3F-1000","S3","B3F-1000","C93157"
"B3F-1000","S4","B3F-1000","C93157"
"B3F-1000","S5","B3F-1000","C93157"
"XKB8080-Z","S6","PVA2 EE H2 1.7N V2","C318860"
"56R","THERMO","RES800","C121802"
"Led Yellow","TX","LED_1206(3216 Metric)_N_Yellow","C93094"
"TX-RX","TX-RX","644456-4","C492412"
"BULN2803LVS","U3","ULN2803A","C406219"
"BULN2803LVS","U4","ULN2803A","C406219"
"CJ7805 3%","U5","MC7805BDTG","C21706"
"EL357N(C)(TA)-G","VO1","LTV-357T-B","C29981"
"EL357N(C)(TA)-G","VO2","LTV-357T-B","C29981"
"EL357N(C)(TA)-G","VO3","LTV-357T-B","C29981"
"EL357N(C)(TA)-G","VO4","LTV-357T-B","C29981"
"EL357N(C)(TA)-G","VO5","LTV-357T-B","C29981"
"EL357N(C)(TA)-G","VO6","LTV-357T-B","C29981"
"MOC3012M","VO7","MOC3012M","C124434"
"16MHz","Y1","HC-49S","C252297"
